tweet,weight,duration,date
environment,411559,210,20-05-30
environment,477977,180,20-05-31
environment,49369,30,20-05-31
health,-1,90,20-05-31
politics & economy,187824,45,20-05-31
health,-1,45,20-05-31
health,116818,675,20-06-01
politics & economy,79874,630,20-06-01
health,230565,390,20-06-01
health,247664,45,20-06-02
social issues,1673569,1050,20-06-02
culture,13846,375,20-06-03
environment,63668,375,20-06-04
environment,-1,60,20-06-04
social issues,239093,720,20-06-06
environment,12426,120,20-06-07
environment,15021,150,20-06-07
social issues,23180,330,20-06-08
politics & economy,63856,570,20-06-08
politics & economy,65245,30,20-06-09
environment,-1,210,20-06-11
environment,-1,30,20-06-12
environment,41095,615,20-06-13
health,39398,165,20-06-13
environment,15409,105,20-06-14
health,48740,345,20-06-15
violence & war,124717,345,20-06-16
violence & war,115296,105,20-06-16
